numbins,numitems,bitsperitem,rangeitems,distribution,instance_id,minmaxes,runtime
2,14,16,0,normal,8,"[{'split': 0, 'minmax': 74530.0}, {'split': 1, 'minmax': 74525.5}]",0.7057554450002499
2,14,16,0,normal,9,"[{'split': 0, 'minmax': 156408.0}, {'split': 1, 'minmax': 156398.5}]",0.7004214549961034
2,14,16,0.5,randint,0,"[{'split': 0, 'minmax': 340277.0}, {'split': 1, 'minmax': 340261.5}]",0.6324416369898245
2,14,16,0.5,randint,1,"[{'split': 0, 'minmax': 328603.0}, {'split': 1, 'minmax': 328594.0}]",0.5880181190004805
2,14,16,0.5,randint,2,"[{'split': 0, 'minmax': 313912.0}, {'split': 1, 'minmax': 313905.0}]",0.647124993003672
2,14,16,0.5,randint,3,"[{'split': 0, 'minmax': 307134.0}, {'split': 1, 'minmax': 307111.5}]",0.7900204809993738
2,14,16,0.5,randint,4,"[{'split': 0, 'minmax': 331466.0}, {'split': 1, 'minmax': 331439.5}]",0.7235659190046135
2,14,16,0.5,randint,5,"[{'split': 0, 'minmax': 341503.0}, {'split': 1, 'minmax': 341495.5}]",0.6287942019989714
2,14,16,0.5,randint,6,"[{'split': 0, 'minmax': 361323.0}, {'split': 1, 'minmax': 361304.5}]",0.8425784120045137
2,14,16,0.5,randint,7,"[{'split': 0, 'minmax': 352342.0}, {'split': 1, 'minmax': 352328.5}]",0.7261410879873438
2,14,16,0.5,randint,8,"[{'split': 0, 'minmax': 342598.0}, {'split': 1, 'minmax': 342594.5}]",0.6774423339957139
2,14,16,0.5,randint,9,"[{'split': 0, 'minmax': 361005.0}, {'split': 1, 'minmax': 360999.5}]",0.49483871400298085
2,14,16,0.5,normal,0,"[{'split': 0, 'minmax': 342355.0}, {'split': 1, 'minmax': 342340.0}]",0.7151025899947854
2,14,16,0.5,normal,1,"[{'split': 0, 'minmax': 400551.0}, {'split': 1, 'minmax': 400535.5}]",0.34778299399476964
2,14,16,0.5,normal,2,"[{'split': 0, 'minmax': 279335.0}, {'split': 1, 'minmax': 279295.0}]",0.6182696780015249
2,14,16,0.5,normal,3,"[{'split': 0, 'minmax': 222652.0}, {'split': 1, 'minmax': 222618.0}]",0.44684807100566104
2,14,16,0.5,normal,4,"[{'split': 0, 'minmax': 116646.0}, {'split': 1, 'minmax': 116627.5}]",0.595086393004749
2,14,16,0.5,normal,5,"[{'split': 0, 'minmax': 2038.0}, {'split': 1, 'minmax': 2019.0}]",0.5666125560092041
2,14,16,0.5,normal,6,"[{'split': 0, 'minmax': 40470.0}, {'split': 1, 'minmax': 40464.0}]",0.6105605600023409
2,14,16,0.5,normal,7,"[{'split': 0, 'minmax': 145640.0}, {'split': 1, 'minmax': 145637.5}]",0.6928011849959148
2,14,16,0.5,normal,8,"[{'split': 0, 'minmax': 380032.0}, {'split': 1, 'minmax': 380031.5}]",0.5756762590026483
2,14,16,0.5,normal,9,"[{'split': 0, 'minmax': 375597.0}, {'split': 1, 'minmax': 375594.0}]",0.7594668559904676
